id,funding_round_id,startup_id,funding_id,created_at,updated_at,startup_name,funding_first_name,funding_last_name,parent_id,category_code,status,country_code,state_code,city,region,funding_total_usd
71546,20989,c:57002,p:67314,1/18/11 3:59,4/30/13 19:56,MileWise,David,Kidder,57002,travel,acquired,USA,NY,New York City,New York,1500000
71554,20989,c:57002,p:67934,1/18/11 3:59,4/30/13 19:56,MileWise,Joshua,Kushner,57002,travel,acquired,USA,NY,New York City,New York,1500000
71553,20989,c:57002,p:70365,1/18/11 3:59,4/30/13 19:56,MileWise,Kal,Vepuri,57002,travel,acquired,USA,NY,New York City,New York,1500000
71551,20989,c:57002,p:795,1/18/11 3:59,4/30/13 19:56,MileWise,Naval,Ravikant,57002,travel,acquired,USA,NY,New York City,New York,1500000
71544,20989,c:57002,p:806,1/18/11 3:59,4/30/13 19:56,MileWise,Geoff,Judge,57002,travel,acquired,USA,NY,New York City,New York,1500000
71904,21991,c:57003,p:12076,3/18/11 15:12,4/4/13 8:51,Tapad,Paul,Olliver,57003,advertising,operating,USA,NY,New York,New York,8300000
71894,21991,c:57003,p:15909,3/18/11 15:12,4/4/13 8:51,Tapad,Brian,O'Kelley,57003,advertising,operating,USA,NY,New York,New York,8300000
71897,21991,c:57003,p:1959,3/18/11 15:12,4/4/13 8:51,Tapad,Dave,Morgan,57003,advertising,operating,USA,NY,New York,New York,8300000
71907,21991,c:57003,p:21670,3/18/11 15:12,4/4/13 8:51,Tapad,Nihal,Mehta,57003,advertising,operating,USA,NY,New York,New York,8300000
71898,21991,c:57003,p:24627,3/18/11 15:12,4/4/13 8:51,Tapad,David,Rosenblatt,57003,advertising,operating,USA,NY,New York,New York,8300000
71908,21991,c:57003,p:24628,3/18/11 15:12,4/4/13 8:51,Tapad,Ed,Zander,57003,advertising,operating,USA,NY,New York,New York,8300000
71896,21991,c:57003,p:2473,3/18/11 15:12,4/4/13 8:51,Tapad,David S.,Kidder,57003,advertising,operating,USA,NY,New York,New York,8300000
71895,21991,c:57003,p:24937,3/18/11 15:12,4/4/13 8:51,Tapad,Barry,Silbert,57003,advertising,operating,USA,NY,New York,New York,8300000
71906,21991,c:57003,p:6246,3/18/11 15:12,4/4/13 8:51,Tapad,Scott,Switzer,57003,advertising,operating,USA,NY,New York,New York,8300000
71900,21991,c:57003,p:68127,3/18/11 15:12,4/4/13 8:51,Tapad,Jeremy,Arnon,57003,advertising,operating,USA,NY,New York,New York,8300000
71901,21991,c:57003,p:69871,3/18/11 15:12,4/4/13 8:51,Tapad,Mike,Yavonditte,57003,advertising,operating,USA,NY,New York,New York,8300000
71899,21991,c:57003,p:806,3/18/11 15:12,4/4/13 8:51,Tapad,Geoff,Judge,57003,advertising,operating,USA,NY,New York,New York,8300000
71905,21991,c:57003,p:83540,3/18/11 15:12,4/4/13 8:51,Tapad,Robert,Johnston,57003,advertising,operating,USA,NY,New York,New York,8300000
71909,21991,c:57003,p:86274,3/18/11 15:12,4/4/13 8:51,Tapad,Jeff,Samberg,57003,advertising,operating,USA,NY,New York,New York,8300000
71902,21991,c:57003,p:86285,3/18/11 15:12,4/4/13 8:51,Tapad,Mikkel,Eriksen,57003,advertising,operating,USA,NY,New York,New York,8300000
